Program ID,Country,University (Select from list),Campus (where aplicable),Department /Institute Name,Academic Degree Granted                      (Select from list),Program Name en Castellano,Program Name,Creation Year,Activo (si/no),Program Web Site
,Mexico,Universidad del Valle de Mexico,Matamoros,,Maestria,,Master's degree in Computer systems,,,http://www.matamoros.uvmnet.edu/posgrado/uvb_sistemas.asp
,Mexico,Universidad del Valle de Mexico,Nuevo Laredo,,Maestria,,Master's degree in Computer systems,,,http://www.laredo.uvmnet.edu/posgrado/uvb_sistemas.asp
,Mexico,Universidad del Valle de Mexico,Reynosa,,Maestria,,Master's degree in Computer systems,,,http://www.reynosa.uvmnet.edu/posgrado/uvb_sistemas.asp
,Mexico,Universidad del Valle de Mexico,Tampico,,Maestria,,Master's degree in Computer systems,,,http://www.tampico.uvmnet.edu/posgrado/uvb_sistemas.asp
,Mexico,Universidad del Valle de Mexico,Victoria,,Maestria,,Master's degree in Computer systems,,,http://www.victoria.uvmnet.edu/posgrado/uvb_sistemas.asp
,Mexico,Universidad del Valle de Mexico,Cumbres,,Maestria,,Master of Engineering in Systems,,,http://www.cumbres.uvmnet.edu/posgrado//sistemas.asp
,Mexico,Universidad del Valle de Mexico,Monterrey,,Maestria,,Master of Engineering in Systems,,,http://www.monterrey.uvmnet.edu/posgrado/sistemas.asp
,Mexico,Universidad del Valle de Mexico,San Rafael,,Maestria,,Master of Engineering in Systems,,,http://www.sanrafael.uvmnet.edu/posgrado/sistemas.asp
,Mexico,Universidad del Valle de Mexico,Tlalpan,,Maestria,,Master of Engineering in Systems,,,http://www.tlalpan.uvmnet.edu/posgrado/sistemas.asp
,Mexico,Universidad del Valle de Mexico,Tuxtla,,Maestria,,Master of Engineering in Systems,,,http://www.tuxtla.uvmnet.edu/posgrado/sistemas.asp
,Mexico,Universidad del Valle de Mexico,Villahermosa,,Maestria,,Master of Engineering in Systems,,,http://www.villahermosa.uvmnet.edu/posgrado/sistemas.asp
,Mexico,Universidad del Valle de Mexico,Queretaro,,Maestria,,Master's degree in Information Technology Management,,,http://www.queretaro.uvmnet.edu/posgrado/gestion.asp
,Mexico,Universidad del Valle de Mexico,San Luis Potosi,,Maestria,,Master's degree in Information Technology Management,,,http://www.sanluispotosi.uvmnet.edu/posgrado/gestion.asp
,Mexico,Universidad del Valle de Mexico,San Rafael,,Maestria,,Master's degree in Information Technology Management,,,http://www.sanrafael.uvmnet.edu/posgrado/gestion.asp
,Mexico,Universidad del Valle de Mexico,Tlalpan,,Maestria,,Master's degree in Information Technology Management,,,http://www.tlalpan.uvmnet.edu/posgrado/gestion.asp
,Mexico,Universidad Iberoamericana ,Ciudad de Mexico,"Departamento de Ingenierias - Division de Ciencia, Arte y Tecnologia",Maestria,,Master's degree in Management of Information Technology Services,,,http://www.uia.mx/web/site/tpl-Nivel2.php?menu=mgPosgrado&seccion=Madmontecnologia
,Mexico,Universidad la Salle,Campestre,Facultad de Ingenieria en Computacion y Electronica,Maestria,,Master in Web Technologies,,,http://bajio.delasalle.edu.mx/web3/contenidos/oferta_acade-mica/posgrados/tecnologias_web.php
,Mexico,Universidad la Salle ,Campestre,Facultad de Ingenieria en Computacion y Electronica,Maestria,,Master in Engineering of Electronics and Computer Systems,,,http://bajio.delasalle.edu.mx/web3/contenidos/oferta_acade-mica/posgrados/sistemas.php
,Mexico,Universidad Nacional Autonoma de Mexico,,,Doctorado,,Doctorate in Science and Computer Engineering,,,http://www.posgrado.unam.mx/programas/programa.php?id_coor=3
,Mexico,Universidad Nacional Autonoma de Mexico ,,,Maestria,,Master in Science and Computer Engineering,,,http://www.posgrado.unam.mx/programas/programa.php?id_coor=3
,Mexico,Universidad Tecnologica de la Mixteca,,,Maestria,,Master's degree in Software Engineering,,,http://www.utm.mx/m_ing_sw.html
,Mexico,Universidad Tecnologica de la Mixteca,,,Maestria,,Master in Technologies in Applied Computing,,,http://www.utm.mx/m_tec_comp-apl.html
,Mexico,Universidad Tecnologica de la Mixteca,,,Doctorado,,Doctorate in Technologies of Applied Computing,,,http://www.utm.mx/dr_tacic.html
,Mexico,Universidad Veracruzana,Xalapa,,Maestria,,Master in Software Engineering,,,http://www.uv.mx/mis/
,Mexico,Universidad Veracruzana,Xalapa,,Maestria,,Master in Computer Science,,,http://www.uv.mx/posgrado/programas/maestrias.html
,Nicaragua,Universidad Iberoamericana de Ciencia y Tecnologia ,,,Maestria,,Master in Telematics and Networks,,,http://www.unicit.edu.ni/postgrado_maestria.php?obj=Mw==
,Nicaragua,Universidad Nacional Autonoma de Nicaragua,,,Maestria,,Master in Computer Science,,,http://www.comp.unanleon.edu.ni/postgrado/
,Nicaragua,Universidad Nacional Autonoma de Nicaragua,,,Doctorado,,Doctorate in Information Systems,,,http://www.comp.unanleon.edu.ni/postgrado/diplomado/
,Panama,Quality Leadership University,,,Maestria,,Master in Applied Information Technology,,,http://www.qlu.ac.pa/index.php?option=com_content&view=article&id=36&Itemid=108&lang=es
,Panama,Universidad Latina,Santiago,,Maestria,,Master in Telecommunication Systems with focus in Communication Networks,,,http://www.ulat.ac.pa/es/cep/plan_estudios_cep.php?codigo_sede=003&facultad=004&carrera=401&enfasis=001
,Panama,"Universidad Metropolitana de Educacion, Ciencia y Tecnologia",,,Maestria,,Master in Computer Science with focus in Networks and Communication,,,http://www.umecit.edu.pa/prueba/index.php?option=com_content&view=article&id=153:maestria-en-sistemas-computacionales-con-enfasis-en-redes-y-comunicaciones&catid=52&Itemid=105
,Panama,Universidad Tecnologica de Panama,,,Maestria,,Master in Audit of Systems and Evaluation of Informatic Control,,,http://www.utp.ac.pa/secciones/carreras/maestria.htm
,Panama,Universidad Tecnologica de Panama,,,Maestria,,Master in Computer Sciences,,,http://www.utp.ac.pa/secciones/carreras/maestria.htm
,Panama,Universidad Tecnologica de Panama,,,Maestria,,Master in Consulting for Technologies of the E-Business Information,,,http://www.utp.ac.pa/secciones/carreras/maestria.htm
,Panama,Universidad Tecnologica de Panama,,,Maestria,,Master in Applied Software Engineering,,,http://www.utp.ac.pa/secciones/carreras/maestria.htm
,Panama,Universidad Tecnologica de Panama,,,Maestria,,Master in Networks of Data Communication,,,http://www.utp.ac.pa/secciones/carreras/maestria.htm
